2025-07-08T08:49:54.957+08:00  WARN 99473 --- [MyWebProject] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9h27m40s805ms).
2025-07-08T09:08:36.581+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing POST /login
2025-07-08T15:28:46.206+08:00  INFO 7833 --- [MyWebProject] [main] c.example.demo.MyWebProjectApplication   : Started MyWebProjectApplication in 17.706 seconds (process running for 19.077)
2025-07-08T15:29:46.147+08:00  INFO 7833 --- [MyWebProject] [MessageBroker-1] o.s.w.s.c.WebSocketMessageBrokerStats    : WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2025-07-08T15:29:55.419+08:00  INFO 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-08T15:29:55.422+08:00  INFO 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-07-08T15:29:55.497+08:00  INFO 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 70 ms
2025-07-08T15:29:55.565+08:00 DEBUG 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /captcha
2025-07-08T15:29:55.604+08:00 DEBUG 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T15:29:55.606+08:00 DEBUG 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 70E3DD27B5E534B684EC92A8273E68EF
2025-07-08T15:29:55.630+08:00 DEBUG 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2025-07-08T15:29:55.673+08:00 DEBUG 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /error
2025-07-08T15:29:55.678+08:00 DEBUG 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T15:29:55.679+08:00 DEBUG 7833 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2025-07-08T15:30:36.619+08:00  INFO 7833 --- [MyWebProject] [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown        : Commencing graceful shutdown. Waiting for active requests to complete
2025-07-08T15:30:36.671+08:00  INFO 7833 --- [MyWebProject] [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown        : Graceful shutdown complete
2025-07-08T15:30:36.692+08:00  INFO 7833 --- [MyWebProject] [SpringApplicationShutdownHook] o.s.m.s.b.SimpleBrokerMessageHandler     : Stopping...
2025-07-08T15:30:36.695+08:00  INFO 7833 --- [MyWebProject] [SpringApplicationShutdownHook] o.s.m.s.b.SimpleBrokerMessageHandler     : BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@28e826c3]]
2025-07-08T15:30:36.697+08:00  INFO 7833 --- [MyWebProject] [SpringApplicationShutdownHook] o.s.m.s.b.SimpleBrokerMessageHandler     : Stopped.
2025-07-08T15:30:36.922+08:00  INFO 7833 --- [MyWebProject] [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-08T15:30:36.979+08:00  INFO 7833 --- [MyWebProject] [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2025-07-08T15:30:37.204+08:00  INFO 7833 --- [MyWebProject] [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2025-07-08T15:30:45.069+08:00  INFO 7888 --- [MyWebProject] [main] c.example.demo.MyWebProjectApplication   : Starting MyWebProjectApplication using Java 22.0.2 with PID 7888 (/Users/caozixuan/project/backend/target/classes started by caozixuan in /Users/caozixuan/project/backend)
2025-07-08T15:30:45.091+08:00  INFO 7888 --- [MyWebProject] [main] c.example.demo.MyWebProjectApplication   : No active profile set, falling back to 1 default profile: "default"
2025-07-08T15:30:47.231+08:00  INFO 7888 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-08T15:30:47.236+08:00  INFO 7888 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-08T15:30:47.601+08:00  INFO 7888 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 348 ms. Found 10 JPA repository interfaces.
2025-07-08T15:30:47.724+08:00  INFO 7888 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-08T15:30:47.725+08:00  INFO 7888 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-07-08T15:30:47.747+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.CartItemRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.748+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.CategoryRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.748+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ChatMessageRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.751+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ChatRoomRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.751+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.OrderItemRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.752+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.OrdersRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.753+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ProductImageRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.754+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ProductRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.755+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.StoreRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.755+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.UserRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:30:47.756+08:00  INFO 7888 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 28 ms. Found 0 JDBC repository interfaces.
2025-07-08T15:30:47.781+08:00  INFO 7888 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-08T15:30:47.785+08:00  INFO 7888 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-07-08T15:30:47.829+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.CartItemRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.831+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.CategoryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.839+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ChatMessageRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.841+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ChatRoomRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.842+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.OrderItemRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.844+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.OrdersRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.844+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ProductImageRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.846+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ProductRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.847+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.StoreRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.849+08:00  INFO 7888 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-07-08T15:30:47.851+08:00  INFO 7888 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 49 ms. Found 0 Redis repository interfaces.
2025-07-08T15:30:49.308+08:00  INFO 7888 --- [MyWebProject] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-07-08T15:30:49.342+08:00  INFO 7888 --- [MyWebProject] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-07-08T15:30:49.342+08:00  INFO 7888 --- [MyWebProject] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-07-08T15:30:49.813+08:00  INFO 7888 --- [MyWebProject] [main] org.apache.jasper.servlet.TldScanner     : At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2025-07-08T15:30:49.830+08:00  INFO 7888 --- [MyWebProject] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-07-08T15:30:49.831+08:00  INFO 7888 --- [MyWebProject] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4605 ms
2025-07-08T15:30:49.873+08:00  INFO 7888 --- [MyWebProject] [main] com.example.demo.util.JwtUtils           : ================ JWTUTILS INITIALIZATION CHECK ================
2025-07-08T15:30:49.873+08:00  WARN 7888 --- [MyWebProject] [main] com.example.demo.util.JwtUtils           : WARNING: jwt.secret is still using the default placeholder value.
2025-07-08T15:30:49.882+08:00  INFO 7888 --- [MyWebProject] [main] com.example.demo.util.JwtUtils           : SUCCESS: Default jwt.secret loaded and SecretKey initialized.
2025-07-08T15:30:49.882+08:00  INFO 7888 --- [MyWebProject] [main] com.example.demo.util.JwtUtils           : SUCCESS: jwt.expiration loaded with value: 86400000 ms
2025-07-08T15:30:49.885+08:00  INFO 7888 --- [MyWebProject] [main] com.example.demo.util.JwtUtils           : ==============================================================
2025-07-08T15:30:50.203+08:00  INFO 7888 --- [MyWebProject] [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-08T15:30:50.294+08:00  INFO 7888 --- [MyWebProject] [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.6.13.Final
2025-07-08T15:30:50.357+08:00  INFO 7888 --- [MyWebProject] [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2025-07-08T15:30:50.888+08:00  INFO 7888 --- [MyWebProject] [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-08T15:30:50.931+08:00  INFO 7888 --- [MyWebProject] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-07-08T15:30:51.240+08:00  INFO 7888 --- [MyWebProject] [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@e67d3b7
2025-07-08T15:30:51.243+08:00  INFO 7888 --- [MyWebProject] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-07-08T15:30:51.395+08:00  INFO 7888 --- [MyWebProject] [main] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 8.4.5
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-07-08T15:30:53.695+08:00  INFO 7888 --- [MyWebProject] [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-08T15:30:54.253+08:00  INFO 7888 --- [MyWebProject] [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-08T15:30:55.555+08:00  INFO 7888 --- [MyWebProject] [main] o.s.d.j.r.query.QueryEnhancerFactory     : Hibernate is in classpath; If applicable, HQL parser will be used.
2025-07-08T15:30:58.119+08:00  INFO 7888 --- [MyWebProject] [main] r$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with UserDetailsService bean with name userCertServiceImpl
2025-07-08T15:30:59.526+08:00  INFO 7888 --- [MyWebProject] [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page: class path resource [static/index.html]
2025-07-08T15:30:59.808+08:00 DEBUG 7888 --- [MyWebProject] [main] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with filters: DisableEncodeUrlFilter, WebAsyncManagerIntegrationFilter, SecurityContextHolderFilter, HeaderWriterFilter, CorsFilter, LogoutFilter, JwtRequestFilter, RequestCacheAwareFilter, SecurityContextHolderAwareRequestFilter, AnonymousAuthenticationFilter, SessionManagementFilter, ExceptionTranslationFilter, AuthorizationFilter
2025-07-08T15:31:00.669+08:00  INFO 7888 --- [MyWebProject] [main] o.s.m.s.b.SimpleBrokerMessageHandler     : Starting...
2025-07-08T15:31:00.670+08:00  INFO 7888 --- [MyWebProject] [main] o.s.m.s.b.SimpleBrokerMessageHandler     : BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@54a1be3a]]
2025-07-08T15:31:00.671+08:00  INFO 7888 --- [MyWebProject] [main] o.s.m.s.b.SimpleBrokerMessageHandler     : Started.
2025-07-08T15:31:00.750+08:00  INFO 7888 --- [MyWebProject] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-07-08T15:31:00.778+08:00  INFO 7888 --- [MyWebProject] [main] c.example.demo.MyWebProjectApplication   : Started MyWebProjectApplication in 17.372 seconds (process running for 18.532)
2025-07-08T15:31:10.755+08:00  INFO 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-08T15:31:10.757+08:00  INFO 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-07-08T15:31:10.759+08:00  INFO 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2025-07-08T15:31:10.811+08:00 DEBUG 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /captcha
2025-07-08T15:31:10.830+08:00 DEBUG 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T15:31:10.830+08:00 DEBUG 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 70E3DD27B5E534B684EC92A8273E68EF
2025-07-08T15:31:10.840+08:00 DEBUG 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /captcha
2025-07-08T15:31:17.109+08:00  WARN 7888 --- [MyWebProject] [http-nio-8080-exec-1] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.demo.response.ApiResponse] with preset Content-Type 'null']
2025-07-08T15:31:17.124+08:00 DEBUG 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /error
2025-07-08T15:31:17.126+08:00 DEBUG 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T15:31:17.129+08:00 DEBUG 7888 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2025-07-08T15:32:00.673+08:00  INFO 7888 --- [MyWebProject] [MessageBroker-1] o.s.w.s.c.WebSocketMessageBrokerStats    : WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2025-07-08T15:33:08.683+08:00  INFO 7888 --- [MyWebProject] [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown        : Commencing graceful shutdown. Waiting for active requests to complete
2025-07-08T15:33:08.693+08:00  INFO 7888 --- [MyWebProject] [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown        : Graceful shutdown complete
2025-07-08T15:33:08.700+08:00  INFO 7888 --- [MyWebProject] [SpringApplicationShutdownHook] o.s.m.s.b.SimpleBrokerMessageHandler     : Stopping...
2025-07-08T15:33:08.700+08:00  INFO 7888 --- [MyWebProject] [SpringApplicationShutdownHook] o.s.m.s.b.SimpleBrokerMessageHandler     : BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@54a1be3a]]
2025-07-08T15:33:08.700+08:00  INFO 7888 --- [MyWebProject] [SpringApplicationShutdownHook] o.s.m.s.b.SimpleBrokerMessageHandler     : Stopped.
2025-07-08T15:33:08.741+08:00  INFO 7888 --- [MyWebProject] [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-08T15:33:08.747+08:00  INFO 7888 --- [MyWebProject] [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2025-07-08T15:33:08.769+08:00  INFO 7888 --- [MyWebProject] [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2025-07-08T15:33:13.215+08:00  INFO 7940 --- [MyWebProject] [main] c.example.demo.MyWebProjectApplication   : Starting MyWebProjectApplication using Java 22.0.2 with PID 7940 (/Users/caozixuan/project/backend/target/classes started by caozixuan in /Users/caozixuan/project/backend)
2025-07-08T15:33:13.222+08:00  INFO 7940 --- [MyWebProject] [main] c.example.demo.MyWebProjectApplication   : No active profile set, falling back to 1 default profile: "default"
2025-07-08T15:33:15.611+08:00  INFO 7940 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-08T15:33:15.615+08:00  INFO 7940 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-08T15:33:16.049+08:00  INFO 7940 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 413 ms. Found 10 JPA repository interfaces.
2025-07-08T15:33:16.168+08:00  INFO 7940 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-08T15:33:16.169+08:00  INFO 7940 --- [MyWebProject] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-07-08T15:33:16.203+08:00  INFO 7940 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.CartItemRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:33:16.203+08:00  INFO 7940 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.CategoryRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:33:16.204+08:00  INFO 7940 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ChatMessageRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:33:16.207+08:00  INFO 7940 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ChatRoomRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:33:16.208+08:00  INFO 7940 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.OrderItemRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:33:16.209+08:00  INFO 7940 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.OrdersRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:33:16.210+08:00  INFO 7940 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ProductImageRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-07-08T15:33:16.211+08:00  INFO 7940 --- [MyWebProject] [main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repository.ProductRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
